species,year,was.changed,plotNums,date,new.genus,new.epithet,notes
Grass,1979,tbd,em-1,43,,,
Poa sp.,2005,yes,gh-3,65,Poa,pratensis
Stipa lettermanii,2005,yes,gh-3,65,,
Trisetum spicatum,2005,yes,gh-3,65,,
Poa sp.,2006,yes,gh-3,67,Poa,pratensis
Stipa lettermanii,2006,yes,gh-3,67,,
Trisetum spicatum,2006,yes,gh-3,67,,
Festuca thurberi,2007,no,gh-3,64,,
Poa sp.,2007,yes,gh-3,64,Poa,pratensis
Stipa lettermanii,2007,yes,gh-3,64,,
Trisetum spicatum,2007,yes,gh-3,64,,
Festuca thurberi,2008,yes,gh-3,52,,
Poa sp.,2008,yes,gh-3,52,Poa,pratensis
Stipa lettermanii,2008,yes,gh-3,52,,
Trisetum spicatum,2008,yes,gh-3,52,,
Poa sp.,2009,yes,gh-3,57,Poa,pratensis
Stipa lettermanii,2009,yes,gh-3,57,,
Trisetum spicatum,2009,yes,gh-3,57,,
"grass - second Poa species?  Big white anthers, not very reflexed, NE side",1998,tbd,gh-4,47,,
Melica spectabilis,1998,tbd,gh-4,47,,
Poa sp.,1998,yes,gh-4,47,Poa,pratensis
"grass - second Poa species?  Big white anthers, not very reflexed, NE side",1999,tbd,gh-4,58,,
Melica spectabilis,1999,tbd,gh-4,58,,
Poa sp.,1999,yes,gh-4,58,Poa,pratensis
Festuca thurberi,2000,no,gh-4,53,,
Melica spectabilis,2000,tbd,gh-4,53,,
Poa sp.,2000,yes,gh-4,53,Poa,pratensis
Festuca thurberi,2001,no,gh-4,66,,
Melica spectabilis,2001,tbd,gh-4,66,,
Festuca thurberi,2003,no,gh-4,62,,
Melica spectabilis,2003,tbd,gh-4,62,,
Festuca thurberi,2004,no,gh-4,61,,
Melica spectabilis,2004,tbd,gh-4,61,,
Poa sp.,2004,yes,gh-4,61,Poa,pratensis
Stipa lettermanii,2004,yes,gh-4,61,,
Festuca thurberi,2005,no,gh-4,65,,
Melica spectabilis,2005,tbd,gh-4,65,,
Poa sp.,2005,yes,gh-4,65,Poa,pratensis
Stipa lettermanii,2005,yes,gh-4,65,,
Festuca thurberi,2006,no,gh-4,64,,
Poa sp.,2006,yes,gh-4,64,Poa,pratensis
Festuca thurberi,2007,no,gh-4,62,,
Melica spectabilis,2007,tbd,gh-4,62,,
Poa sp.,2007,yes,gh-4,62,Poa,pratensis
Stipa lettermanii,2007,yes,gh-4,62,,
Festuca thurberi,2008,no,gh-4,50,,
Poa sp.,2008,yes,gh-4,50,Poa,pratensis
Stipa lettermanii,2008,yes,gh-4,50,,
Festuca thurberi,2009,no,gh-4,57,,
Melica spectabilis,1998,tbd,gh-5,47,,
Poa sp.,1998,yes,gh-5,47,Poa,pratensis
Melica spectabilis,1999,tbd,gh-5,58,,
Poa sp.,1999,yes,gh-5,58,Poa,pratensis
Melica spectabilis,2000,tbd,gh-5,56,,
Poa sp.,2000,yes,gh-5,56,Poa,pratensis
Melica spectabilis,2001,tbd,gh-5,67,,
Poa sp.,2001,yes,gh-5,67,Poa,pratensis
Melica spectabilis,2003,tbd,gh-5,62,,
Poa sp.,2003,yes,gh-5,62,Poa,pratensis
Melica spectabilis,2004,tbd,gh-5,59,,
Poa sp.,2004,yes,gh-5,59,Poa,pratensis
Stipa lettermanii,2004,yes,gh-5,59,,
Melica spectabilis,2005,tbd,gh-5,65,,
Poa sp.,2005,yes,gh-5,65,Poa,pratensis
Stipa lettermanii,2005,yes,gh-5,65,,
Poa sp.,2006,yes,gh-5,67,Poa,pratensis
Stipa lettermanii,2006,yes,gh-5,67,,
Melica spectabilis,2007,tbd,gh-5,64,,
Stipa lettermanii,2007,yes,gh-5,64,,
Poa sp.,2008,yes,gh-5,57,Poa,pratensis
Stipa lettermanii,2008,yes,gh-5,57,,
Grass,1979,tbd,mi-1,42,,
Melica spectabilis,1991,tbd,mi-1,48,,
"grass - long tight head, medium-long awns, SE corner",1996,tbd,mi-1,60,,
Melica spectabilis,1996,tbd,mi-1,60,,
Grass,1979,tbd,mi-2,42,,
grass,1984,tbd,mi-3,46,,
Grass,1977,tbd,mi-4,26,,
Poa sp.,1984,yes,mi-4,46,Poa,pratensis
Poa sp.,1987,yes,mi-4,64,Poa,pratensis
Poa sp.,1988,yes,mi-4,47,Poa,pratensis
Poa sp.,1991,yes,mi-4,47,Poa,pratensis
Poa sp.,1992,yes,mi-4,41,Poa,pratensis
Poa sp.,1993,yes,mi-4,72,Poa,pratensis
Poa sp.,1995,yes,mi-4,98,Poa,pratensis
"grass - spike, long awns, 1/3 down leaf blade",1996,tbd,mi-4,60,,
Poa sp.,1996,yes,mi-4,60,Poa,pratensis
Grass,1979,tbd,mi-5,43,,
Poa sp.,1984,yes,mi-5,46,Poa,pratensis
"unknown, yellow flower, tiny plant",1987,tbd,mi-5,64,Descurainia,richardsonii
grass - dense head,1991,tbd,mi-5,47,,
grass - nodding brome,1991,tbd,mi-5,47,,
Poa sp.,1991,yes,mi-5,47,Poa,pratensis
Poa sp.,1992,yes,mi-5,41,Poa,pratensis
"grass - long awns, tight head",1993,tbd,mi-5,36,,
Poa sp.,1993,yes,mi-5,36,Poa,pratensis
"grass - tall bunch grass, N side (Poa?)",1994,tbd,mi-5,47,,
Poa sp.,1994,yes,mi-5,47,Poa,pratensis
Poa sp.,1995,yes,mi-5,45,Poa,pratensis
Festuca thurberi,1996,yes,mi-5,60,,
Melica spectabilis,1996,tbd,mi-5,60,,
Poa sp.,1996,yes,mi-5,60,Poa,pratensis
Poa sp.,2006,yes,mw-11,67,Poa,pratensis
Melica spectabilis,2007,tbd,mw-11,61,,
Poa sp.,2007,yes,mw-11,61,Poa,pratensis
Melica spectabilis,2008,tbd,mw-11,45,,
Poa sp.,2008,yes,mw-11,45,Poa,pratensis
grass,1981,tbd,rm-1,56,,
Trisetum spicatum,1982,yes,rm-1,55,,
Grass,1983,tbd,rm-1,42,,
Poa sp.,1983,yes,rm-1,42,Poa,pratensis
grass,1986,tbd,rm-1,47,,
Poa sp.,1986,yes,rm-1,47,Poa,pratensis
Poa sp.,1987,yes,rm-1,66,Poa,pratensis
Poa sp.,1988,yes,rm-1,56,Poa,pratensis
Poa sp.,1991,yes,rm-1,49,Poa,pratensis
Poa sp.,1992,yes,rm-1,41,Poa,pratensis
Poa sp.,1993,yes,rm-1,36,Poa,pratensis
grass - long awns,1995,tbd,rm-1,56,,
Poa sp.,1995,yes,rm-1,56,Poa,pratensis
Poa sp.,1996,yes,rm-1,59,Poa,pratensis
"grass, tight inflorescence, leaf sheath 2"" taller than inflorescence",1997,tbd,rm-1,63,,
Poa sp.,1997,yes,rm-1,63,Poa,pratensis
"grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes",1998,tbd,rm-1,73,,
Poa sp.,1998,yes,rm-1,73,Poa,pratensis
"grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes",1999,tbd,rm-1,55,,
Poa sp.,1999,yes,rm-1,55,Poa,pratensis
Koeleria macrantha,2000,yes,rm-1,57,,
Poa sp.,2000,yes,rm-1,57,Poa,pratensis
Koeleria macrantha,2001,yes,rm-1,77,,
Poa sp.,2001,yes,rm-1,77,Poa,pratensis
Poa sp.,2002,yes,rm-1,75,Poa,pratensis
Poa sp.,2003,yes,rm-1,70,Poa,pratensis
Koeleria macrantha,2004,yes,rm-1,69,,
Poa sp.,2004,yes,rm-1,69,Poa,pratensis
Stipa lettermanii,2004,yes,rm-1,69,,
Koeleria macrantha,2005,yes,rm-1,68,,
Poa sp.,2005,yes,rm-1,68,Poa,pratensis
Stipa lettermanii,2005,yes,rm-1,68,,
Koeleria macrantha,2006,yes,rm-1,74,,
Poa sp.,2006,yes,rm-1,74,Poa,pratensis
Stipa lettermanii,2006,yes,rm-1,74,,
Koeleria macrantha,2007,yes,rm-1,71,,
Poa sp.,2007,yes,rm-1,71,Poa,pratensis,
Koeleria macrantha,2008,yes,rm-1,64,,,
Poa sp.,2008,yes,rm-1,64,Poa,pratensis,
Koelaria macrantha ,2009,tbd,rm-1,57,,,
Poa sp.,2009,yes,rm-1,57,Poa,pratensis,
Trisetum spicatum,1981,yes,rm-2,56,,,
grass #3,1982,tbd,rm-2,49,,,hopeless
Poa sp.,1983,yes,rm-2,42,Poa,pratensis,
grass - spike,1987,tbd,rm-2,66,,,
Poa sp.,1987,yes,rm-2,66,Poa,pratensis,
grass - spike,1988,tbd,rm-2,54,,,
Poa sp.,1988,yes,rm-2,54,Poa,pratensis,
grass - long awns,1991,tbd,rm-2,49,Stipa,lettermanii,
Poa sp.,1991,yes,rm-2,49,Poa,pratensis,
Trisetum spicatum,1991,yes,rm-2,49,,,
grass -  compact elongated heads,1992,tbd,rm-2,41,,,
Poa sp.,1992,yes,rm-2,41,Poa,pratensis
Trisetum spicatum,1992,yes,rm-2,41,,
grass - long awns,1993,tbd,rm-2,37,Stipa,lettermanii
grass - Poa species #2?  NW corner,1993,tbd,rm-2,37,,
Poa sp.,1993,yes,rm-2,37,Poa,pratensis
grass - long awns,1994,tbd,rm-2,47,Stipa,lettermanii
"grass - short, tight heads",1994,tbd,rm-2,47,,
Poa sp.,1994,yes,rm-2,47,Poa,pratensis
grass - long awns,1995,tbd,rm-2,54,Stipa,lettermanii
Poa sp.,1995,yes,rm-2,54,Poa,pratensis
"grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)",1997,tbd,rm-2,63,,
Poa sp.,1997,yes,rm-2,63,Poa,pratensis
"grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.",1998,tbd,rm-2,73,,
"grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers",1998,tbd,rm-2,73,,
Poa sp.,1998,yes,rm-2,73,Poa,pratensis
Koeleria macrantha,1999,yes,rm-2,56,,
Poa sp.,1999,yes,rm-2,56,Poa,pratensis
Festuca thurberi,2000,no,rm-2,57,,
Koeleria macrantha,2000,yes,rm-2,57,,
Poa sp.,2000,yes,rm-2,57,Poa,pratensis
Trisetum spicatum,2000,no,rm-2,57,,
Festuca thurberi,2001,no,rm-2,78,,
Poa sp.,2001,yes,rm-2,78,Poa,pratensis
Koeleria macrantha,2002,yes,rm-2,76,,
Poa sp.,2002,yes,rm-2,76,Poa,pratensis
Festuca thurberi,2003,yes,rm-2,66,,
Koeleria macrantha,2003,yes,rm-2,66,,
Poa sp.,2003,yes,rm-2,66,Poa,pratensis
Stipa lettermanii,2003,yes,rm-2,66,,
Festuca thurberi,2004,yes,rm-2,57,,
Koeleria macrantha,2004,yes,rm-2,57,,
Poa sp.,2004,yes,rm-2,57,Poa,pratensis
Stipa lettermanii,2004,yes,rm-2,57,,
Festuca thurberi,2005,yes,rm-2,69,,
Koeleria macrantha,2005,yes,rm-2,69,,
Poa sp.,2005,yes,rm-2,69,Poa,pratensis
Stipa lettermanii,2005,yes,rm-2,69,,
Festuca thurberi,2006,yes,rm-2,73,,
Koeleria macrantha,2006,yes,rm-2,73,,
Poa sp.,2006,yes,rm-2,73,Poa,pratensis
Stipa lettermanii,2006,yes,rm-2,73,,
Festuca thurberi,2007,yes,rm-2,75,,
Koeleria macrantha,2007,yes,rm-2,75,,
Poa sp.,2007,yes,rm-2,75,Poa,pratensis
Festuca thurberi,2008,yes,rm-2,69,,
Koeleria macrantha,2008,yes,rm-2,69,,
Poa sp.,2008,yes,rm-2,69,Poa,pratensis
Festuca thurberi,2009,no,rm-2,57,,
Festuca thurberi,2009,yes,rm-2,57,,
Koeleria macrantha,2009,yes,rm-2,57,,
Poa sp.,2009,yes,rm-2,57,Poa,pratensis
Stipa lettermanii,2009,yes,rm-2,57,,
grass,1975,tbd,rm-3,40,,
grass,1981,tbd,rm-3,56,,
Poa sp.,1983,yes,rm-3,42,Poa,pratensis
Stipa lettermanii,1983,yes,rm-3,42,,
grass,1984,tbd,rm-3,49,,
Poa sp.,1985,yes,rm-3,47,Poa,pratensis
grass - long awns,1991,tbd,rm-3,49,Stipa,lettermanii
grass - long awns.1,1991,tbd,rm-3,49,,
Poa sp.,1991,yes,rm-3,49,Poa,pratensis
Poa sp.,1992,yes,rm-3,41,Poa,pratensis
Poa sp.,1993,yes,rm-3,37,Poa,pratensis
Poa sp.,1994,yes,rm-3,47,Poa,pratensis
grass - long awns,1995,tbd,rm-3,54,Stipa,lettermanii
"grass - short tight heads, robust",1995,tbd,rm-3,54,,
Poa sp.,1995,yes,rm-3,54,Poa,pratensis
Melica spectabilis,1997,tbd,rm-3,63,,
Poa sp.,1997,yes,rm-3,63,Poa,pratensis
Melica spectabilis,1998,tbd,rm-3,73,,
Poa sp.,1998,yes,rm-3,73,Poa,pratensis
Koeleria macrantha,1999,yes,rm-3,56,,
Melica spectabilis,1999,tbd,rm-3,56,,
Poa sp.,1999,yes,rm-3,56,Poa,pratensis
Koeleria macrantha,2000,yes,rm-3,57,,
Poa sp.,2000,yes,rm-3,57,Poa,pratensis
Poa sp.,2001,yes,rm-3,78,Poa,pratensis
Poa sp.,2002,yes,rm-3,75,Poa,pratensis
Melica spectabilis,2003,tbd,rm-3,70,,
Poa sp.,2003,yes,rm-3,70,Poa,pratensis
Stipa lettermanii,2003,yes,rm-3,70,,
Koeleria micrantha,2004,tbd,rm-3,63,,
Poa sp.,2004,yes,rm-3,63,Poa,pratensis
Stipa lettermanii,2004,yes,rm-3,63,,
Koeleria macrantha,2005,yes,rm-3,67,,
Melica spectabilis,2005,tbd,rm-3,67,,
Poa sp.,2005,yes,rm-3,67,Poa,pratensis
Stipa lettermanii,2005,yes,rm-3,67,,
Koeleria macrantha,2006,yes,rm-3,72,,
Poa sp.,2006,yes,rm-3,72,Poa,pratensis
Stipa lettermanii,2006,yes,rm-3,72,,
Melica spectabilis,2007,tbd,rm-3,70,,
Poa sp.,2007,yes,rm-3,70,Poa,pratensis
Festuca thurberi,2008,yes,rm-3,65,,
Melica spectabilis,2008,tbd,rm-3,65,,
Poa sp.,2008,yes,rm-3,65,Poa,pratensis
Trisetum spicatum,2008,no,rm-3,65,,,
Koeleria macrantha,2009,no,rm-3,57,,,
Melica spectabilis,2009,tbd,rm-3,57,,,
Poa sp.,2009,yes,rm-3,57,Poa,pratensis,
Stipa lettermanii,2009,yes,rm-3,57,,,
grass,1981,tbd,rm-4,56,,,
grass,1982,tbd,rm-4,55,,,
Poa sp.,1983,yes,rm-4,42,Poa,pratensis,
annual,1984,tbd,rm-4,49,,,hopeless
Poa sp.,1984,yes,rm-4,49,Poa,pratensis,
Poa sp.,1986,yes,rm-4,47,Poa,pratensis,
grass,1987,tbd,rm-4,66,,,
Poa sp.,1987,yes,rm-4,66,Poa,pratensis,
grass,1988,tbd,rm-4,51,,,
Poa sp.,1988,yes,rm-4,51,Poa,pratensis,
Elymus longifolius,1991,yes,rm-4,49,,,
grass - long awns,1991,tbd,rm-4,49,,
grass - Poa?  SE corner,1991,tbd,rm-4,49,,
Poa sp.,1991,yes,rm-4,49,Poa,pratensis
Elymus longifolius,1992,yes,rm-4,41,,
Poa sp.,1992,yes,rm-4,41,Poa,pratensis
"grass - slightly spreading, yellow anthers, tall, NW corner",1993,tbd,rm-4,37,,
Poa sp.,1993,yes,rm-4,37,Poa,pratensis
"grass - slightly spreading, yellow anthers, tall, NW corner",1994,tbd,rm-4,47,,
Poa sp.,1994,yes,rm-4,47,Poa,pratensis
Epilobium  annual species,1995,tbd,rm-4,57,,
grass - long awns,1995,tbd,rm-4,57,,
"grass - short tight heads, like an unexpanded Poa, small glumes",1995,tbd,rm-4,57,,
"grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes",1995,tbd,rm-4,57,,
Poa sp.,1995,yes,rm-4,57,Poa,pratensis
"grass, NW corner and N side, big yellow anthers, blade longer than inflorescence",1997,tbd,rm-4,63,,
Poa sp.,1997,yes,rm-4,63,Poa,pratensis
"grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??",1998,tbd,rm-4,72,,
Poa sp.,1998,yes,rm-4,72,Poa,pratensis
Poa sp.,1999,yes,rm-4,57,Poa,pratensis
Festuca thurberi,2000,no,rm-4,57,,
Koeleria macrantha,2000,yes,rm-4,57,,
Poa sp.,2000,yes,rm-4,57,Poa,pratensis
Trisetum spicatum,2000,no,rm-4,57,,
Festuca thurberi,2001,yes,rm-4,78,,
Poa sp.,2001,yes,rm-4,78,Poa,pratensis
Koeleria macrantha,2003,yes,rm-4,70,,
Poa sp.,2003,yes,rm-4,70,Poa,pratensis
Stipa lettermanii,2003,yes,rm-4,70,,
Festuca thurberi,2004,yes,rm-4,61,,
Koeleria macrantha,2004,yes,rm-4,61,,
Poa sp.,2004,yes,rm-4,61,Poa,pratensis
Stipa lettermanii,2004,yes,rm-4,61,,
Festuca thurberi,2005,yes,rm-4,67,,
Koeleria macrantha,2005,yes,rm-4,67,,
Poa sp.,2005,yes,rm-4,67,Poa,pratensis
Stipa lettermanii,2005,yes,rm-4,67,,
Festuca thurberi,2006,yes,rm-4,72,,
Koeleria macrantha,2006,yes,rm-4,72,,
Poa sp.,2006,yes,rm-4,72,Poa,pratensis
Stipa lettermanii,2006,yes,rm-4,72,,
Festuca thurberi,2007,yes,rm-4,70,,
Poa sp.,2007,yes,rm-4,70,Poa,pratensis
Festuca thurberi,2008,yes,rm-4,64,,
Poa sp.,2008,yes,rm-4,64,Poa,pratensis
Festuca thurberi,2009,yes,rm-4,56,,
Koeleria macrantha,2009,no,rm-4,56,,
Poa sp.,2009,yes,rm-4,56,Poa,pratensis
Stipa lettermanii,2009,yes,rm-4,56,,
grass,1975,tbd,rm-5,40,,
grass,1981,tbd,rm-5,56,,
grass,1982,tbd,rm-5,55,,
Grass,1983,tbd,rm-5,42,,
grass,1984,tbd,rm-5,48,,
Poa sp.,1986,yes,rm-5,47,Poa,pratensis
Poa sp.,1987,yes,rm-5,66,Poa,pratensis
Poa sp.,1991,yes,rm-5,49,Poa,pratensis
Poa sp.,1993,yes,rm-5,37,Poa,pratensis
Poa sp.,1994,yes,rm-5,47,Poa,pratensis
grass - long awns,1995,tbd,rm-5,54,,
"grass - robust, short, compact, East of rock in middle",1995,tbd,rm-5,54,,
Poa sp.,1995,yes,rm-5,54,Poa,pratensis
"grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath",1997,tbd,rm-5,63,,
Melica spectabilis,1998,tbd,rm-5,73,,
Poa sp.,1998,yes,rm-5,73,Poa,pratensis
Koeleria macrantha,1999,yes,rm-5,57,,
Melica spectabilis,1999,tbd,rm-5,57,,
Poa sp.,1999,yes,rm-5,57,Poa,pratensis
Koeleria macrantha,2000,yes,rm-5,57,,
Poa sp.,2000,yes,rm-5,57,Poa,pratensis
Poa sp.,2001,yes,rm-5,78,Poa,pratensis
Poa sp.,2003,yes,rm-5,70,Poa,pratensis
Poa sp.,2004,yes,rm-5,60,Poa,pratensis
Koeleria macrantha,2005,yes,rm-5,67,,
Poa sp.,2005,yes,rm-5,67,Poa,pratensis
Koeleria macrantha,2006,yes,rm-5,72,,
Poa sp.,2006,yes,rm-5,144,Poa,pratensis
Stipa lettermanii,2006,yes,rm-5,72,,
Festuca thurberi,2007,yes,rm-5,70,,
Poa sp.,2007,yes,rm-5,70,Poa,pratensis
Stipa lettermanii,2007,yes,rm-5,70,,
Festuca thurberi,2008,yes,rm-5,65,,
Poa sp.,2008,yes,rm-5,65,Poa,pratensis
Stipa lettermanii,2008,yes,rm-5,65,,
Festuca thurberi,2009,yes,rm-5,57,,
Koeleria macrantha,2009,no,rm-5,57,,
Poa sp.,2009,yes,rm-5,57,Poa,pratensis
Stipa lettermanii,2009,yes,rm-5,57,,
