species,year,was.changed,plotNums,date,new.genus,new.epithet,notes
Grass,1979,tbd,em-1,43,,,
Poa sp.,1995,yes,em-1,47,Poa,pratensis,
Poa sp.,1999,yes,em-1,55,Poa,pratensis,
Elymus trachycaulus,2000,no,em-1,42,,,
Elymus trachycaulus,2001,no,em-1,62,,,
Poa sp.,2001,yes,em-1,62,Poa,pratensis,
Poa sp.,2002,yes,em-1,75,Poa,pratensis,
Poa sp.,2003,yes,em-1,61,Poa,pratensis,
Poa sp.,2004,yes,em-1,60,Poa,pratensis,
Poa sp.,2005,yes,em-1,53,Poa,pratensis,
Poa sp.,2006,yes,em-1,69,Poa,pratensis,
Poa sp.,2007,yes,em-1,70,Poa,pratensis,
Poa sp.,2008,yes,em-1,47,Poa,pratensis,
grass,1975,tbd,em-2,37,,,poa?
Grass,1979,tbd,em-2,43,,,poa?
Poa sp.,1983,yes,em-2,40,Poa,pratensis,
grass - nodding brome,1991,tbd,em-2,48,Ceratochloa,carinata,maybe - based on description
grass - nodding brome,1992,tbd,em-2,41,Ceratochloa,carinata,maybe - based on description
grass - nodding brome,1993,tbd,em-2,36,Ceratochloa,carinata,maybe - based on description
Poa sp.,1993,yes,em-2,36,Poa,pratensis,
Melica spectabilis,1998,tbd,em-2,71,,,
Melica spectabilis,2001,tbd,em-2,62,,,
Poa sp.,2002,yes,em-2,74,Poa,pratensis,
Melica spectabilis,2003,tbd,em-2,61,,,
Poa sp.,2003,yes,em-2,61,Poa,pratensis,
Melica spectabilis,2004,tbd,em-2,60,,,
Poa sp.,2004,yes,em-2,60,Poa,pratensis,
Melica spectabilis,2005,tbd,em-2,53,,,
Poa sp.,2005,yes,em-2,53,Poa,pratensis,
Melica spectabilis,2007,tbd,em-2,69,,,
Poa sp.,2007,yes,em-2,69,Poa,pratensis,
Poa sp.,2008,yes,em-2,47,Poa,pratensis,
Poa sp.,2009,yes,em-2,56,Poa,pratensis,
annual,1985,tbd,gh-1,41,,,hopeless
Phleum commutatum,1986,yes,gh-1,47,,,
Phleum commutatum,1987,yes,gh-1,64,,,
nodding brome,1991,tbd,gh-1,48,,,
Phleum commutatum,1991,yes,gh-1,48,,,
Phleum commutatum,1993,yes,gh-1,36,,,
Poa sp.,1993,yes,gh-1,36,Poa,pratensis,
Poa sp.,1994,yes,gh-1,47,Poa,pratensis,
Phleum commutatum,1995,yes,gh-1,51,,,
Poa sp.,1995,yes,gh-1,51,Poa,pratensis,
Melica spectabilis,1996,tbd,gh-1,60,,,
Poa sp.,1996,yes,gh-1,60,Poa,pratensis,
Melica spectabilis,1997,tbd,gh-1,58,,,
Poa sp.,1997,yes,gh-1,58,Poa,pratensis,
"grass - W side, giant Poa??",1998,tbd,gh-1,71,,,poa?
Melica spectabilis,1998,tbd,gh-1,71,,,
Poa sp.,1998,yes,gh-1,71,Poa,pratensis,
"grass - W site, giant Poa??",1999,tbd,gh-1,59,,,poa?
Melica spectabilis,1999,tbd,gh-1,59,,,
Poa sp.,1999,yes,gh-1,59,Poa,pratensis,
Melica spectabilis,2000,tbd,gh-1,40,,,
Phleum commutatum,2000,yes,gh-1,40,,,
Poa sp.,2000,yes,gh-1,40,Poa,pratensis,
Melica spectabilis,2001,tbd,gh-1,66,,,
Phleum commutatum,2001,yes,gh-1,66,,,
Poa sp.,2001,yes,gh-1,66,Poa,pratensis,
Poa sp.,2003,yes,gh-1,62,Poa,pratensis,
Festuca thurberi,2004,no,gh-1,59,,,
Melica spectabilis,2004,tbd,gh-1,59,,,
Phleum commutatum,2004,no,gh-1,59,,,
Poa sp.,2004,yes,gh-1,59,Poa,pratensis
Melica spectabilis,2005,tbd,gh-1,65,,
Poa sp.,2005,yes,gh-1,65,Poa,pratensis
Poa sp.,2006,yes,gh-1,64,Poa,pratensis
Melica spectabilis,2007,tbd,gh-1,61,,
Poa sp.,2007,yes,gh-1,61,Poa,pratensis
Poa sp.,2008,yes,gh-1,53,Poa,pratensis
Poa sp.,2009,yes,gh-1,57,Poa,pratensis
Stipa lettermanii,2009,yes,gh-1,57,,
Poa sp.,1986,yes,gh-2,47,Poa,pratensis
Poa sp.,1991,yes,gh-2,48,Poa,pratensis
Poa sp.,1993,yes,gh-2,36,Poa,pratensis
grass - long awns,1994,tbd,gh-2,47,,
"grass - tall bunch grass, E side",1994,tbd,gh-2,47,,
Poa sp.,1994,yes,gh-2,47,Poa,pratensis
grass - long awns,1995,tbd,gh-2,52,,
grass - pearl grass?  NE corner,1995,tbd,gh-2,52,Trisetum,spicatum,"maybe - look similar, occurs in these plots in later years"
Poa sp.,1995,yes,gh-2,52,Poa,pratensis,
grass - pearl grass?  NE corner,1996,tbd,gh-2,60,Trisetum,spicatum,"maybe - look similar, occurs in these plots in later years"
Melica spectabilis,1996,tbd,gh-2,60,,,
Poa sp.,1996,yes,gh-2,60,Poa,pratensis,
Stipa lettermanii,1996,yes,gh-2,60,,,
Melica spectabilis,1997,tbd,gh-2,65,,,
Poa sp.,1997,yes,gh-2,65,Poa,pratensis,
unknown #1,1997,tbd,gh-2,65,,,hopeless
grass - pearl grass?,1998,tbd,gh-2,71,Trisetum,spicatum,"maybe - look similar, occurs in these plots in later years"
Melica spectabilis,1998,tbd,gh-2,71,,,
Poa sp.,1998,yes,gh-2,71,Poa,pratensis,
grass - pearl grass?,1999,tbd,gh-2,58,,,
Melica spectabilis,1999,tbd,gh-2,58,,,
Poa sp.,1999,yes,gh-2,58,Poa,pratensis,
Melica spectabilis,2000,tbd,gh-2,49,,,
Poa sp.,2000,yes,gh-2,49,Poa,pratensis
Melica spectabilis,2001,tbd,gh-2,68,,
Poa sp.,2001,yes,gh-2,68,Poa,pratensis
Melica spectabilis,2002,tbd,gh-2,74,,
Poa sp.,2002,yes,gh-2,74,Poa,pratensis
Festuca thurberi,2003,no,gh-2,64,,
Melica spectabilis,2003,tbd,gh-2,64,,
Poa sp.,2003,yes,gh-2,64,Poa,pratensis
Stipa lettermanii,2003,yes,gh-2,64,,
Festuca thurberi,2004,no,gh-2,61,,
Melica spectabilis,2004,tbd,gh-2,61,,
Poa sp.,2004,yes,gh-2,61,Poa,pratensis
Stipa lettermanii,2004,yes,gh-2,61,,
Festuca thurberi,2005,no,gh-2,65,,
Melica spectabilis,2005,tbd,gh-2,65,,
Poa sp.,2005,yes,gh-2,65,Poa,pratensis
Stipa lettermanii,2005,yes,gh-2,65,,
Festuca thurberi,2006,no,gh-2,67,,
Poa sp.,2006,yes,gh-2,67,Poa,pratensis
Stipa lettermanii,2006,yes,gh-2,67,,
Poa sp.,2007,yes,gh-2,63,Poa,pratensis
Stipa lettermanii,2007,yes,gh-2,63,,
Festuca thurberi,2008,no,gh-2,53,,
Poa sp.,2008,yes,gh-2,53,Poa,pratensis
Stipa lettermanii,2008,yes,gh-2,53,,
Festuca thurberi,2009,no,gh-2,57,,
Poa sp.,2009,yes,gh-2,57,Poa,pratensis
Stipa lettermanii,2009,yes,gh-2,57,,
Melica spectabilis,1998,tbd,gh-3,47,,
Poa sp.,1998,yes,gh-3,47,Poa,pratensis
Trisetum spicatum,1998,yes,gh-3,47,,
Melica spectabilis,1999,tbd,gh-3,58,,
Poa sp.,1999,yes,gh-3,58,Poa,pratensis
Festuca thurberi,2000,no,gh-3,55,,
Poa sp.,2000,yes,gh-3,55,Poa,pratensis
Trisetum spicatum,2000,no,gh-3,55,,
Poa sp.,2001,yes,gh-3,67,Poa,pratensis
Trisetum spicatum,2001,no,gh-3,67,,
Poa sp.,2002,yes,gh-3,74,Poa,pratensis
Festuca thurberi,2003,no,gh-3,68,,
Melica spectabilis,2003,tbd,gh-3,68,,
Poa sp.,2003,yes,gh-3,68,Poa,pratensis
Stipa lettermanii,2003,yes,gh-3,68,,
Trisetum spicatum,2003,yes,gh-3,68,,
Festuca thurberi,2004,no,gh-3,61,,
Melica spectabilis,2004,tbd,gh-3,61,,
Poa sp.,2004,yes,gh-3,61,Poa,pratensis
Stipa lettermanii,2004,yes,gh-3,61,,
Trisetum spicatum,2004,yes,gh-3,61,,
Melica spectabilis,2005,tbd,gh-3,65,,
