givenname,sp1,sp2,sp3,latbi,needs.change,lookup.gen,lookup.sp,source,notes
"""droopy grass - oats""","""droopy grass - oats""","""droopy grass - oats""","""droopy grass - oats""","""droopy grass - oats"" ""droopy grass - oats"" ""droopy grass - oats""",yes,,,,
"(Elymus glauca) tight spike, 5-mm awns, NW corner","(Elymus glauca) tight spike, 5-mm awns, NW corner","(Elymus glauca) tight spike, 5-mm awns, NW corner","(Elymus glauca) tight spike, 5-mm awns, NW corner","(Elymus glauca) tight spike, 5-mm awns, NW corner (Elymus glauca) tight spike, 5-mm awns, NW corner (Elymus glauca) tight spike, 5-mm awns, NW corner",yes,,,,
Achillea  lanulosa,Achillea,lanulosa,,Achillea lanulosa ,yes,Achillea,millefolium,forrestxls,
Achillea  millefolium,Achillea,millefolium,,Achillea millefolium ,no,,,,
Achillea  millifolium,Achillea,millifolium,,Achillea millifolium ,yes,Achillea,millefolium,forrestxls,
Achnatherum (Stipa) lettermanii - needlegrass (long awns),Achnatherum (Stipa) lettermanii - needlegrass (long awns),Achnatherum (Stipa) lettermanii - needlegrass (long awns),Achnatherum (Stipa) lettermanii - needlegrass (long awns),Achnatherum (Stipa) lettermanii - needlegrass (long awns) Achnatherum (Stipa) lettermanii - needlegrass (long awns) Achnatherum (Stipa) lettermanii - needlegrass (long awns),yes,,,,
Achnatherum (Stipa) lettermanii - needlegrass,Achnatherum (Stipa) lettermanii - needlegrass,Achnatherum (Stipa) lettermanii - needlegrass,Achnatherum (Stipa) lettermanii - needlegrass,Achnatherum (Stipa) lettermanii - needlegrass Achnatherum (Stipa) lettermanii - needlegrass Achnatherum (Stipa) lettermanii - needlegrass,yes,,,,
Aconitum  columbianum,Aconitum,columbianum,,Aconitum columbianum ,no,,,,
Aconitum  columbinaum,Aconitum,columbinaum,,Aconitum columbinaum ,yes,Aconitum,columbinaum,forrestxls,
Agastache urticifolia,Agastache,urticifolia,,Agastache urticifolia ,no,,,,
Agoseris,Agoseris,,,Agoseris  ,yes,,,,
Agoseris  (small orange),Agoseris,(small,orange),Agoseris (small orange),yes,Agoseris,aurantiaca,GA,
Agoseris  aurantiaca,Agoseris,aurantiaca,,Agoseris aurantiaca ,no,,,,
Agoseris aurantiaca.1,Agoseris,aurantiaca.1,,Agoseris aurantiaca.1 ,yes,Agoseris,aurantiaca,GA,
Agoseris  glauca,Agoseris,glauca,,Agoseris glauca ,no,,,,
Agoseris  glauca(?),Agoseris,glauca(?),,Agoseris glauca(?) ,yes,Agoseris,glauca,GA
Agoseris glauca.1,Agoseris,glauca.1,,Agoseris glauca.1 ,yes,Agoseris,glauca,GA
Agoseris glauca?,Agoseris,glauca?,,Agoseris glauca? ,yes,Agoseris,glauca,GA
Agoseris?,Agoseris?,,,Agoseris?  ,yes,,,
Agropyron,Agropyron,,,Agropyron  ,yes,,,
Agropyron spp,Agropyron,spp,,Agropyron spp ,yes,,,
Agropyron spp.,Agropyron,spp.,,Agropyron spp. ,yes,,,
Agropyron ssp.,Agropyron,ssp.,,Agropyron ssp. ,yes,,,
Agropyron trachycaulis,Agropyron,trachycaulis,,Agropyron trachycaulis ,yes,Elymus,trachycaulus,forrestxls
Agropyron trachycaulus,Agropyron,trachycaulus,,Agropyron trachycaulus ,yes,Elymus,trachycaulus,forrestxls
"Agropyron trachycaulus (""wheat grass"")","Agropyron trachycaulus (""wheat grass"")","Agropyron trachycaulus (""wheat grass"")","Agropyron trachycaulus (""wheat grass"")","Agropyron trachycaulus (""wheat grass"") Agropyron trachycaulus (""wheat grass"") Agropyron trachycaulus (""wheat grass"")",yes,Elymus,trachycaulus,forrestxls
Agropyron trachycaulus (wheat grass),Agropyron trachycaulus (wheat grass),Agropyron trachycaulus (wheat grass),Agropyron trachycaulus (wheat grass),Agropyron trachycaulus (wheat grass) Agropyron trachycaulus (wheat grass) Agropyron trachycaulus (wheat grass),yes,Elymus,trachycaulus,forrestxls
Agropyron trachycaulus.1,Agropyron,trachycaulus.1,,Agropyron trachycaulus.1 ,yes,,,
Allium  geyeri,Allium,geyeri,,Allium geyeri ,no,,,
Amelanchier  pumila,Amelanchier,pumila,,Amelanchier pumila ,no,,,
Amerosedum lanceolatum,Amerosedum,lanceolatum,,Amerosedum lanceolatum ,no,,,
Androsace  septentionalis,Androsace,septentionalis,,Androsace septentionalis ,yes,Androsace,septentrionalis,forrestxls
Androsace  septentrionalis,Androsace,septentrionalis,,Androsace septentrionalis ,no,,,
Angelica  grayi,Angelica,grayi,,Angelica grayi ,no,,,
annual,annual,,,annual  ,yes,,,
