"sites","plots","plotnums"
"rm1-1973","rm","1"
"rm2-1973","rm","2"
"rm3-1973","rm","3"
"rm4-1973","rm","4"
"rm5-1973","rm","5"
"rm6-1973","rm","6"
"rm7-1973","rm","7"
"rm8-1973","rm","8"
"rm9-1973","rm","9"
"sb2-1973","sb2-1973","sb2-1973"
"sb3-1973","sb3-1973","sb3-1973"
"sb5-1973","sb5-1973","sb5-1973"
"sb6-1973","sb6-1973","sb6-1973"
"sb7-1973","sb7-1973","sb7-1973"
"ss1-1973","ss1-1973","ss1-1973"
"ss2-1973","ss2-1973","ss2-1973"
"ss4-1973","ss4-1973","ss4-1973"
"vb1-1973","vb1-1973","vb1-1973"
"wms1-1973","wm","s"
"em1-1974","em","1"
"em2-1974","em","2"
"int1-1974","int","1"
"int2-1974","int","2"
"int3-1974","int","3"
"int4-1974","int","4"
"int5-1974","int","5"
"rm1-1974","rm","1"
"rm2-1974","rm","2"
"rm3-1974","rm","3"
"rm4-1974","rm","4"
"rm5-1974","rm","5"
"rm6-1974","rm","6"
"rm7-1974","rm","7"
"rm8-1974","rm","8"
"rm9-1974","rm","9"
"vr1-1974","vr","1"
"vr2-1974","vr","2"
"wm1-1974","wm","1"
"wm2-1974","wm","2"
"wm3-1974","wm","3"
"wm4-1974","wm","4"
"wm5-1974","wm","5"
"em1-1975","em","1"
"em2-1975","em","2"
"int1-1975","int","1"
"int2-1975","int","2"
"int3-1975","int","3"
"int4-1975","int","4"
"int5-1975","int","5"
"rm1-1975","rm","1"
"rm2-1975","rm","2"
"rm3-1975","rm","3"
"rm4-1975","rm","4"
"rm5-1975","rm","5"
"rm6-1975","rm","6"
"rm7-1975","rm","7"
"rm8-1975","rm","8"
"rm9-1975","rm","9"
"vr1-1975","vr","1"
"vr2-1975","vr","2"
"wm11975","wm","1"
"wm21975","wm","2"
"wm31975","wm","3"
"wm41975","wm","4"
"wm51975","wm","5"
"em11976","em","1"
"em21976","em","2"
"int1-1976","int","1"
"int21976","int","2"
"int31976","int","3"
"int41976","int","4"
"int51976","int","5"
"rm11976","rm","1"
"rm21976","rm","2"
"rm31976","rm","3"
"rm41976","rm","4"
"rm51976","rm","5"
"rm61976","rm","6"
"rm71976","rm","7"
"rm81976","rm","8"
"rm91976","rm","9"
"vr11976","vr","1"
"vr21976","vr","2"
"wm11976","wm","1"
"wm21976","wm","2"
"wm31976","wm","3"
"wm41976","wm","4"
"wm51976","wm","5"
"em11977","em","1"
"em21977","em","2"
"int11977","int","1"
"int21977","int","2"
"int31977","int","3"
"int41977","int","4"
"int51977","int","5"
"rm11977","rm","1"
"rm21977","rm","2"
"rm31977","rm","3"
"rm41977","rm","4"
"rm51977","rm","5"
"rm61977","rm","6"
"rm71977","rm","7"
"rm81977","rm","8"
"rm91977","rm","9"
"vr11977","vr","1"
"vr21977","vr","2"
"wm11977","wm","1"
"wm21977","wm","2"
"wm31977","wm","3"
"wm41977","wm","4"
"wm51977","wm","5"
"em11979","em","1"
"em21979","em","2"
"int11979","int","1"
"int21979","int","2"
"int31979","int","3"
"int41979","int","4"
"int51979","int","5"
"rm11979","rm","1"
"rm21979","rm","2"
"rm31979","rm","3"
"rm41979","rm","4"
"rm51979","rm","5"
"rm61979","rm","6"
"rm71979","rm","7"
"rm81979","rm","8"
"rm91979","rm","9"
"vr11979","vr","1"
"vr21979","vr","2"
"wm11979","wm","1"
"wm21979","wm","2"
"wm31979","wm","3"
"wm41979","wm","4"
"wm51979","wm","5"
"em1-1980","em","1"
"em2-1980","em","2"
"rm1-1980","rm","1"
"rm2-1980","rm","2"
"rm3-1980","rm","3"
"rm4-1980","rm","4"
"rm5-1980","rm","5"
"rm6-1980","rm","6"
"rm7-1980","rm","7"
"rm8-1980","rm","8"
"rm9-1980","rm","9"
"vr1-1980","vr","1"
"vr2-1980","vr","2"
"wm1-1980","wm","1"
"w-m1-80","wm","1"
"wm2-1980","wm","2"
"w-m2-80","wm","2"
"wm3-1980","wm","3"
"w-m3-80","wm","3"
"wm4-1980","wm","4"
"w-m4-80","wm","4"
"wm5-1980","wm","5"
"w-m5-80","wm","5"
"em1-1981","em","1"
"em2-1981","em","2"
"rm1-1981","rm","1"
"rm2-1981","rm","2"
"rm3-1981","rm","3"
"rm4-1981","rm","4"
"rm5-1981","rm","5"
"rm6-1981","rm","6"
"rm7-1981","rm","7"
"rm8-1981","rm","8"
"rm9-1981","rm","9"
"vr1-1981","vr","1"
"vr2-1981","vr","2"
"wm1-1981","wm","1"
"w-m1-81","wm","1"
"wm2-1981","wm","2"
"w-m2-81","wm","2"
"wm3-1981","wm","3"
"w-m3-81","wm","3"
"wm4-1981","wm","4"
"w-m4-81","wm","4"
"wm5-1981","wm","5"
"w-m5-81","wm","5"
"em1-1982","em","1"
"em2-1982","em","2"
"rm1-1982","rm","1"
"rm2-1982","rm","2"
"rm3-1982","rm","3"
"rm4-1982","rm","4"
"rm5-1982","rm","5"
"rm6-1982","rm","6"
"rm7-1982","rm","7"
"rm8-1982","rm","8"
"rm9-1982","rm","9"
"vr1-1982","vr","1"
"vr2-1982","vr","2"
"wm1-1982","wm","1"
"w-m1-82","wm","1"
"wm2-1982","wm","2"
"w-m2-82","wm","2"
"wm3-1982","wm","3"
"w-m3-82","wm","3"
"wm4-1982","wm","4"
"w-m4-82","wm","4"
"wm5-1982","wm","5"
"w-m5-82","wm","5"
"em1-1983","em","1"
"em2-1983","em","2"
"rm1-1983","rm","1"
"rm2-1983","rm","2"
"rm3-1983","rm","3"
"rm4-1983","rm","4"
"rm5-1983","rm","5"
"rm6-1983","rm","6"
"rm7-1983","rm","7"
"rm8-1983","rm","8"
"rm9-1983","rm","9"
"vr1-1983","vr","1"
"vr2-1983","vr","2"
"wm1-1983","wm","1"
"w-m1-83","wm","1"
"wm2-1983","wm","2"
"w-m2-83","wm","2"
"wm3-1983","wm","3"
"w-m3-83","wm","3"
"wm4-1983","wm","4"
"w-m4-83","wm","4"
"wm5-1983","wm","5"
"w-m5-83","wm","5"
"em1-1984","em","1"
"em21984","em","2"
"int11984","int","1"
"int21984","int","2"
"int31984","int","3"
"int41984","int","4"
"int51984","int","5"
"rm1-1984","rm","1"
"rm2-1984","rm","2"
"rm3-1984","rm","3"
"rm4-1984","rm","4"
"rm5-1984","rm","5"
"rm6-1984","rm","6"
"rm7-1984","rm","7"
"rm8-1984","rm","8"
"rm9-1984","rm","9"
"vr1-1984","vr","1"
"vr2-1984","vr","2"
"vr21984","vr","2"
"wm1-1984","wm","1"
"wm2-1984","wm","2"
"wm3-1984","wm","3"
"wm4-1984","wm","4"
"wm5-1984","wm","5"
"em1-1985","em","1"
"em2-1985","em","2"
"gp1-1985","gp","1"
