"sites","plots","plotnums"
"gp2-1985","gp","2"
"rm1-1985","rm","1"
"rm2-1985","rm","2"
"rm3-1985","rm","3"
"rm4-1985","rm","4"
"rm5-1985","rm","5"
"rm6-1985","rm","6"
"rm7-1985","rm","7"
"rm8-1985","rm","8"
"rm9-1985","rm","9"
"vr1-1985","vr","1"
"vr2-1985","vr","2"
"wm1-1985","wm","1"
"w-m1-85","wm","1"
"wm2-1985","wm","2"
"w-m2-85","wm","2"
"wm3-1985","wm","3"
"w-m3-85","wm","3"
"wm4-1985","wm","4"
"w-m4-85","wm","4"
"wm5-1985","wm","5"
"w-m5-85","wm","5"
"em1-1986","em","1"
"em2-1986","em","2"
"gp1-1986","gp","1"
"gp2-1986","gp","2"
"rm1-1986","rm","1"
"rm2-1986","rm","2"
"rm3-1986","rm","3"
"rm4-1986","rm","4"
"rm5-1986","rm","5"
"rm6-1986","rm","6"
"rm7-1986","rm","7"
"rm8-1986","rm","8"
"rm9-1986","rm","9"
"vr1-1986","vr","1"
"vr2-1986","vr","2"
"wm1-1986","wm","1"
"w-m1-86","wm","1"
"wm2-1986","wm","2"
"w-m2-86","wm","2"
"wm3-1986","wm","3"
"w-m3-86","wm","3"
"wm4-1986","wm","4"
"w-m4-86","wm","4"
"wm5-1986","wm","5"
"w-m5-86","wm","5"
"em11987","em","1"
"em21987","em","2"
"gp11987","gp","1"
"gp21987","gp","2"
"int11987","int","1"
"int21987","int","2"
"int31987","int","3"
"int41987","int","4"
"int51987","int","5"
"rm11987","rm","1"
"rm21987","rm","2"
"rm31987","rm","3"
"rm41987","rm","4"
"rm51987","rm","5"
"rm61987","rm","6"
"rm71987","rm","7"
"rm81987","rm","8"
"rm91987","rm","9"
"vr11987","vr","1"
"vr21987","vr","2"
"wm11987","wm","1"
"wm21987","wm","2"
"wm31987","wm","3"
"wm41987","wm","4"
"em11988","em","1"
"em21988","em","2"
"gp11988","gp","1"
"gp21988","gp","2"
"int11988","int","1"
"int21988","int","2"
"int31988","int","3"
"int41988","int","4"
"int51988","int","5"
"rm11988","rm","1"
"rm21988","rm","2"
"rm31988","rm","3"
"rm41988","rm","4"
"rm51988","rm","5"
"rm61988","rm","6"
"rm71988","rm","7"
"rm81988","rm","8"
"rm91988","rm","9"
"vr11988","vr","1"
"vr21988","vr","2"
"wm11988","wm","1"
"wm21988","wm","2"
"wm31988","wm","3"
"wm41988","wm","4"
"wm51988","wm","5"
"em11989","em","1"
"em21989","em","2"
"gp11989","gp","1"
"gp21989","gp","2"
"int11989","int","1"
"int21989","int","2"
"int31989","int","3"
"int41989","int","4"
"int51989","int","5"
"rm11989","rm","1"
"rm21989","rm","2"
"rm31989","rm","3"
"rm41989","rm","4"
"rm51989","rm","5"
"rm61989","rm","6"
"rm71989","rm","7"
"rm81989","rm","8"
"rm91989","rm","9"
"vr11989","vr","1"
"vr21989","vr","2"
"wm11989","wm","1"
"wm21989","wm","2"
"wm31989","wm","3"
"wm41989","wm","4"
"wm51989","wm","5"
"em11991","em","1"
"em21991","em","2"
"gp11991","gp","1"
"gp21991","gp","2"
"int11991","int","1"
"int21991","int","2"
"int31991","int","3"
"int41991","int","4"
"int51991","int","5"
"rm11991","rm","1"
"rm21991","rm","2"
"rm31991","rm","3"
"rm41991","rm","4"
"rm51991","rm","5"
"rm61991","rm","6"
"rm71991","rm","7"
"rm81991","rm","8"
"rm91991","rm","9"
"vr11991","vr","1"
"vr21991","vr","2"
"wm11991","wm","1"
"wm21991","wm","2"
"wm31991","wm","3"
"wm41991","wm","4"
"wm51991","wm","5"
"em11992","em","1"
"em21992","em","2"
"gp11992","gp","1"
"gp21992","gp","2"
"int11992","int","1"
"int21992","int","2"
"int31992","int","3"
"int41992","int","4"
"int51992","int","5"
"rm11992","rm","1"
"rm21992","rm","2"
"rm31992","rm","3"
"rm41992","rm","4"
"rm51992","rm","5"
"rm61992","rm","6"
"rm71992","rm","7"
"rm81992","rm","8"
"rm91992","rm","9"
"vr11992","vr","1"
"vr21992","vr","2"
"wm11992","wm","1"
"wm21992","wm","2"
"wm31992","wm","3"
"wm41992","wm","4"
"wm51992","wm","5"
"em11993","em","1"
"em21993","em","2"
"gp11993","gp","1"
"gp21993","gp","2"
"int11993","int","1"
"int21993","int","2"
"int31993","int","3"
"int41993","int","4"
"int51993","int","5"
"rm11993","rm","1"
"rm21993","rm","2"
"rm31993","rm","3"
"rm41993","rm","4"
"rm51993","rm","5"
"rm61993","rm","6"
"rm71993","rm","7"
"rm81993","rm","8"
"rm91993","rm","9"
"vr11993","vr","1"
"vr21993","vr","2"
"wm11993","wm","1"
"wm21993","wm","2"
"wm31993","wm","3"
"wm41993","wm","4"
"wm51993","wm","5"
"em11994","em","1"
"em21994","em","2"
"gp11994","gp","1"
"gp21994","gp","2"
"int11994","int","1"
"int21994","int","2"
"int31994","int","3"
"int41994","int","4"
"int51994","int","5"
"rm11994","rm","1"
"rm21994","rm","2"
"rm31994","rm","3"
"rm41994","rm","4"
"rm51994","rm","5"
"rm61994","rm","6"
"rm71994","rm","7"
"rm81994","rm","8"
"rm91994","rm","9"
"vr21994","vr","2"
"wm11994","wm","1"
"wm21994","wm","2"
"wm31994","wm","3"
"wm41994","wm","4"
"wm51994","wm","5"
"em11995","em","1"
"em21995","em","2"
"gp11995","gp","1"
"gp21995","gp","2"
"int11995","int","1"
"int21995","int","2"
"int31995","int","3"
"int41995","int","4"
"int51995","int","5"
"rm11995","rm","1"
"rm21995","rm","2"
"rm31995","rm","3"
"rm41995","rm","4"
"rm51995","rm","5"
"rm61995","rm","6"
"rm71995-1","rm","7"
"rm71995","rm","7"
"rm81995-1","rm","8"
"rm81995","rm","8"
"rm91995-1","rm","9"
"rm91995","rm","9"
"vr11995","vr","1"
"vr21995","vr","2"
"wm11995","wm","1"
"wm21995","wm","2"
"wm31995","wm","3"
"wm41995","wm","4"
"wm51995","wm","5"
"erythronium meadow #1","em","1"
"erythronium meadow #2","em","2"
"gp11996","gp","1"
"gp21996","gp","2"
"int11996","int","1"
"int21996","int","2"
"int31996","int","3"
"int41996","int","4"
"int51996","int","5"
"rm11996","rm","1"
"rm71996","rm","7"
"veratrum removal #1","vr","1"
"veratrum removal #2","vr","2"
"willow-meadow interface #1","int","1"
"willow-meadow interface #2","int","2"
"willow-meadow interface #3","int","3"
"willow-meadow interface #4","int","4"
"willow-meadow interface #5","int","5"
"wm11996","wm","1"
"wm21996","wm","2"
"wm31996","wm","3"
"wm41996","wm","4"
"wm51996","wm","5"
"erythronium meadow #1 - 1997","em","1"
"erythronium meadow #2 - 1997","em","2"
"greenhouse plot #1 - 1997","gp","1"
"greenhouse plot #2 - 1997","gp","2"
"rocky meadow plot #1 - 1997","rm","1"
"rocky meadow plot #2 - 1997","rm","2"
"rocky meadow plot #3 - 1997","rm","3"
"rocky meadow plot #4 - 1997","rm","4"
"rocky meadow plot #5 - 1997","rm","5"
"rocky meadow plot #6 - 1997","rm","6"
"rocky meadow plot #7 - 1997","rm","7"
"rocky meadow plot #8 - 1997","rm","8"
"rocky meadow plot #9 - 1997","rm","9"
"veratrum removal plot #1 - 1997","vr","1"
"veratrum removal plot #2 - 1997","vr","2"
"wet meadow #1 - 1997","wm","1"
"wet meadow #2 - 1997","wm","2"
"wet meadow #3 - 1997","wm","3"
"wet meadow #4 - 1997","wm","4"
"wet meadow #5 - 1997","wm","5"
"willow-meadow interface #1 - 1997","int","1"
"willow-meadow interface #2 - 1997","int","2"
"willow-meadow interface #3 - 1997","int","3"
"willow-meadow interface #4 - 1997","int","4"
"willow-meadow interface #5 - 1997","int","5"
"erythronium meadow #1 - 1998","em","1"
"erythronium meadow #2 - 1998","em","2"
"greenhouse plot #1 - 1998","gp","1"
"greenhouse plot #2 - 1998","gp","2"
"greenhouse plot #3 - 1998","gp","3"
"greenhouse plot #4 - 1998","gp","4"
"greenhouse plot #5 - 1998","gp","5"
"rocky meadow #1 - 1998","rm","1"
"rocky meadow #2 - 1998","rm","2"
"rocky meadow #3 - 1998","rm","3"
"rocky meadow #4 - 1998","rm","4"
"rocky meadow #5 - 1998","rm","5"
"rocky meadow #6 - 1998","rm","6"
"rocky meadow #7 - 1998","rm","7"
"rocky meadow #8 - 1998","rm","8"
"rocky meadow #9 - 1998","rm","9"
"veratrum removal #1 - 1998","vr","1"
"veratrum removal #2 - 1998","vr","2"
"wet meadow #1 - 1998","wm","1"
"wet meadow #2 - 1998","wm","2"
"wet meadow #3 - 1998","wm","3"
"wet meadow #4 - 1998","wm","4"
"wet meadow #5 - 1998","wm","5"
"willow-meadow interface #1 - 1998","int","1"
"willow-meadow interface #2 - 1998","int","2"
"willow-meadow interface #3 - 1998","int","3"
"willow-meadow interface #4 - 1998","int","4"
"willow-meadow interface #5 - 1998","int","5"
"erythronium meadow #1 - 1999","em","1"
"erythronium meadow #2 - 1999","em","2"
"greenhouse plot #1 - 1999","gp","1"
"greenhouse plot #2 - 1999","gp","2"
"greenhouse plot #3 - 1999","gp","3"
"greenhouse plot #4 - 1999","gp","4"
"greenhouse plot #5 - 1999","gp","5"
"rocky meadow #1 - 1999","rm","1"
"rocky meadow #2 - 1999","rm","2"
"rocky meadow #3 - 1999","rm","3"
"rocky meadow #4 - 1999","rm","4"
"rocky meadow #5 - 1999","rm","5"
"rocky meadow #6 - 1999","rm","6"
"rocky meadow #7 - 1999","rm","7"
"rocky meadow #8 - 1999","rm","8"
"rocky meadow #9 - 1999","rm","9"
"veratrum removal #1 - 1999","vr","1"
"veratrum removal #2 - 1999","vr","2"
"wet meadow #1 - 1999","wm","1"
"wet meadow #2 - 1999","wm","2"
"wet meadow #3 - 1999","wm","3"
"wet meadow #4 - 1999","wm","4"
"wet meadow #5 - 1999","wm","5"
"willow-meadow interface #1 - 1999","int","1"
"willow-meadow interface #2 - 1999","int","2"
"willow-meadow interface #3 - 1999","int","3"
"willow-meadow interface #4 - 1999","int","4"
"willow-meadow interface #5 - 1999","int","5"
"erythronium meadow #1 - 2000","em","1"
"erythronium meadow #2 - 2000","em","2"
"greenhouse plot #1 - 2000","gp","1"
"greenhouse plot #2 - 2000","gp","2"
"greenhouse plot #3 - 2000","gp","3"
"greenhouse plot #4 - 2000","gp","4"
"greenhouse plot #5 - 2000","gp","5"
"rocky meadow #1 - 2000","rm","1"
"rocky meadow #2 - 2000","rm","2"
"rocky meadow #3 - 2000","rm","3"
"rocky meadow #4 - 2000","rm","4"
"rocky meadow #5 - 2000","rm","5"
"rocky meadow #6 - 2000","rm","6"
"rocky meadow #7 - 2000","rm","7"
"rocky meadow #8 - 2000","rm","8"
"rocky meadow #9 - 2000","rm","9"
"veratrum removal #1 - 2000","vr","1"
"veratrum removal #2 - 2000","vr","2"
"wet meadow #1 - 2000","wm","1"
"wet meadow #2 - 2000","wm","2"
"wet meadow #3 - 2000","wm","3"
"wet meadow #4 - 2000","wm","4"
"wet meadow #5 - 2000","wm","5"
"willow-meadow interface #1 - 2000","int","1"
"willow-meadow interface #2 - 2000","int","2"
"willow-meadow interface #3 - 2000","int","3"
"willow-meadow interface #4 - 2000","int","4"
"willow-meadow interface #5 - 2000","int","5"
"erythronium meadow #1 - 2001","em","1"
"erythronium meadow #2 - 2001","em","2"
"greenhouse plot #1 - 2001","gp","1"
"greenhouse plot #2 - 2001","gp","2"
"greenhouse plot #3 - 2001","gp","3"
"greenhouse plot #4 - 2001","gp","4"
"greenhouse plot #5 - 2001","gp","5"
"rocky meadow #1 - 2001","rm","1"
"rocky meadow #2 - 2001","rm","2"
"rocky meadow #3 - 2001","rm","3"
"rocky meadow #4 - 2001","rm","4"
"rocky meadow #5 - 2001","rm","5"
"rocky meadow #6 - 2001","rm","6"
"rocky meadow #7 - 2001","rm","7"
"rocky meadow #8 - 2001","rm","8"
"rocky meadow #9 - 2001","rm","9"
"veratrum removal #1 - 2001","vr","1"
"veratrum removal #2 - 2001","vr","2"
"wet meadow #1 - 2001","wm","1"
"wet meadow #2 - 2001","wm","2"
"wet meadow #3 - 2001","wm","3"
"wet meadow #4 - 2001","wm","4"
"wet meadow #5 - 2001","wm","5"
"willow-meadow interface #1 - 2001","int","1"
"willow-meadow interface #2 - 2001","int","2"
"willow-meadow interface #3 - 2001","int","3"
"willow-meadow interface #4 - 2001","int","4"
"willow-meadow interface #5 - 2001","int","5"
"erythronium meadow #1 - 2002","em","1"
"erythronium meadow #2 - 2002","em","2"
"greenhouse plot #1 - 2002","gp","1"
"greenhouse plot #2 - 2002","gp","2"
"greenhouse plot #3 - 2002","gp","3"
"greenhouse plot #4 - 2002","gp","4"
"greenhouse plot #5 - 2002","gp","5"
"rocky meadow #1 - 2002","rm","1"
"rocky meadow #2 - 2002","rm","2"
"rocky meadow #3 - 2002","rm","3"
"rocky meadow #4 - 2002","rm","4"
"rocky meadow #5 - 2002","rm","5"
"rocky meadow #6 - 2002","rm","6"
"rocky meadow #7 - 2002","rm","7"
"rocky meadow #8 - 2002","rm","8"
"rocky meadow #9 - 2002","rm","9"
"veratrum removal #1 - 2002","vr","1"
"veratrum removal #2 - 2002","vr","2"
"wet meadow #1 - 2002","wm","1"
"wet meadow #2 - 2002","wm","2"
"wet meadow #3 - 2002","wm","3"
"wet meadow #4 - 2002","wm","4"
"wet meadow #5 - 2002","wm","5"
"willow-meadow interface #1 - 2002","int","1"
"willow-meadow interface #2 - 2002","int","2"
"willow-meadow interface #3 - 2002","int","3"
"willow-meadow interface #4 - 2002","int","4"
"willow-meadow interface #5 - 2002","int","5"
"erythronium meadow #1 - 2003","em","1"
"erythronium meadow #2 - 2003","em","2"
"greenhouse plot #1 - 2003","gp","1"
"greenhouse plot #2 - 2003","gp","2"
"greenhouse plot #3 - 2003","gp","3"
"greenhouse plot #4 - 2003","gp","4"
"greenhouse plot #5 - 2003","gp","5"
"rocky meadow #1 - 2003","rm","1"
"rocky meadow #2 - 2003","rm","2"
"rocky meadow #3 - 2003","rm","3"
"rocky meadow #4 - 2003","rm","4"
"rocky meadow #5 - 2003","rm","5"
"rocky meadow #6 - 2003","rm","6"
"rocky meadow #7 - 2003","rm","7"
"rocky meadow #8 - 2003","rm","8"
"rocky meadow #9 - 2003","rm","9"
"veratrum removal #1 - 2003","vr","1"
"veratrum removal #2 - 2003","vr","2"
"wet meadow #1 - 2003","wm","1"
"wet meadow #2 - 2003","wm","2"
"wet meadow #3 - 2003","wm","3"
"wet meadow #4 - 2003","wm","4"
"wet meadow #5 - 2003","wm","5"
"willow-meadow interface #1 - 2003","int","1"
"willow-meadow interface #2 - 2003","int","2"
"willow-meadow interface #3 - 2003","int","3"
"willow-meadow interface #4 - 2003","int","4"
"willow-meadow interface #5 - 2003","int","5"
"erythronium meadow #1 - 2004","em","1"
"erythronium meadow #2 - 2004","em","2"
"greenhouse plot #1 - 2004","gp","1"
"greenhouse plot #2 - 2004","gp","2"
"greenhouse plot #3 - 2004","gp","3"
"greenhouse plot #4 - 2004","gp","4"
"greenhouse plot #5 - 2004","gp","5"
"meadow (enders) plot #1","meadow (enders) plot #1","1"
"rocky meadow #1 - 2004","rm","1"
"rocky meadow #2 - 2004","rm","2"
"rocky meadow #3 - 2004","rm","3"
"rocky meadow #4 - 2004","rm","4"
"rocky meadow #5 - 2004","rm","5"
"rocky meadow #6 - 2004","rm","6"
"rocky meadow #7 - 2004","rm","7"
"rocky meadow #8 - 2004","rm","8"
"rocky meadow #9 - 2004","rm","9"
"stream (calder) plot #1","stream (calder) plot #1","1"
"veratrum removal #1 - 2004","vr","1"
"veratrum removal #2 - 2004","vr","2"
"wet meadow #1 - 2004","wm","1"
"wet meadow #2 - 2004","wm","2"
"wet meadow #3 - 2004","wm","3"
"wet meadow #4 - 2004","wm","4"
"wet meadow #5 - 2004","wm","5"
"willow-meadow interface #1 - 2004","int","1"
"willow-meadow interface #2 - 2004","int","2"
"willow-meadow interface #3 - 2004","int","3"
"willow-meadow interface #4 - 2004","int","4"
"willow-meadow interface #5 - 2004","int","5"
"erythronium meadow #1 - 2005","em","1"
"erythronium meadow #2 - 2005","em","2"
"greenhouse plot #1 - 2005","gp","1"
"greenhouse plot #2 - 2005","gp","2"
"greenhouse plot #3 - 2005","gp","3"
"greenhouse plot #4 - 2005","gp","4"
"greenhouse plot #5 - 2005","gp","5"
"rocky meadow #1 - 2005","rm","1"
"rocky meadow #2 - 2005","rm","2"
"rocky meadow #3 - 2005","rm","3"
"rocky meadow #4 - 2005","rm","4"
"rocky meadow #5 - 2005","rm","5"
"rocky meadow #6 - 2005","rm","6"
"rocky meadow #7 - 2005","rm","7"
"rocky meadow #8 - 2005","rm","8"
"rocky meadow #9 - 2005","rm","9"
"stream (calder) plot #1 - 2005","stream (calder) plot #1 - 2005","1"
"veratrum removal #1 - 2005","vr","1"
"veratrum removal #2 - 2005","vr","2"
"wet meadow #1 - 2005","wm","1"
"wet meadow #2 - 2005","wm","2"
"wet meadow #3 - 2005","wm","3"
"wet meadow #4 - 2005","wm","4"
"wet meadow #5 - 2005","wm","5"
"willow-meadow interface #1 - 2005","int","1"
"willow-meadow interface #2 - 2005","int","2"
"willow-meadow interface #3 - 2005","int","3"
"willow-meadow interface #4 - 2005","int","4"
"willow-meadow interface #5 - 2005","int","5"
"aspen forest plot #8 - 2006","rm","8"
"aspen forest plot #9 - 2006","rm","9"
"erythronium meadow #1 - updated july 2008_2006","em","1"
"erythronium meadow #2 - 2006","em","2"
"greenhouse plot #1 - 2006","gp","1"
"greenhouse plot #2 - 2006","gp","2"
"greenhouse plot #3 - 2006","gp","3"
"greenhouse plot #4 - 2006","gp","4"
"greenhouse plot #5 - 2006","gp","5"
"meadow (enders) plot #11 - 2006","meadow (enders) plot #11 - 2006","1"
"rocky meadow #1 - updated september 2008_2006","rm","1"
"rocky meadow #2 - updated september 2008_2006","rm","2"
"rocky meadow #3 - updated september 2008_2006","rm","3"
"rocky meadow #4 - updated september 2008_2006","rm","4"
"rocky meadow #5 - updated september 2008_2006","rm","5"
"rocky meadow #6 - updated september 2008_2006","rm","6"
"rocky meadow #7 - 2006","rm","7"
"stream plot #10 - 2006","stream plot #10 - 2006","1"
"veratrum removal #1 - 2006","vr","1"
"veratrum removal #2 - 2006","vr","2"
"wet meadow #1 - 2006","wm","1"
"wet meadow #2 - 2006","wm","2"
"wet meadow #3 - 2006","wm","3"
"wet meadow #4 - 2006","wm","4"
"wet meadow #5 - 2006","wm","5"
"willow-meadow interface plot #1 - updated july 2008_2006","int","1"
"willow-meadow interface plot #2 - 2006","int","2"
"willow-meadow interface plot #3 - 2006","int","3"
"willow-meadow interface plot #4 - 2006","int","4"
"willow-meadow interface plot #5 - 2006","int","5"
"aspen forest #8 - 2007","rm","8"
"aspen forest #9 - 2007","rm","9"
"erythronium meadow #1 - 2007","em","1"
"erythronium meadow #2 - 2007","em","2"
"greenhouse plot #1 - 2007","gp","1"
"greenhouse plot #2 - 2007","gp","2"
"greenhouse plot #3 - 2007","gp","3"
"greenhouse plot #4 - 2007","gp","4"
"greenhouse plot #5 - 2007","gp","5"
"meadow (enders) plot #11 - 2007","meadow (enders) plot #11 - 2007","1"
"rocky meadow #1 - 2007","rm","1"
"rocky meadow #2 - 2007","rm","2"
"rocky meadow #3 - 2007","rm","3"
"rocky meadow #4 - 2007","rm","4"
"rocky meadow #5 - 2007","rm","5"
"rocky meadow #6 - 2007","rm","6"
"rocky meadow #7 - 2007","rm","7"
"stream plot #10 - 2007","stream plot #10 - 2007","1"
"veratrum removal #1 - 2007","vr","1"
"veratrum removal #2 - 2007","vr","2"
"wet meadow #1 - 2007","wm","1"
"wet meadow #2 - 2007","wm","2"
"wet meadow #3 - 2007","wm","3"
"wet meadow #4 - 2007","wm","4"
"wet meadow #5 - 2007","wm","5"
"willow-meadow interface plot #1 - 2007","int","1"
"willow-meadow interface plot #2 - 2007","int","2"
"willow-meadow interface plot #3 - 2007","int","3"
"willow-meadow interface plot #4 - 2007","int","4"
"willow-meadow interface plot #5 - 2007","int","5"
"aspen forest #8 - 2008","rm","8"
"aspen forest #9 - 2008","rm","9"
"erythronium meadow #1 - 2008","em","1"
"erythronium meadow #2 - 2008","em","2"
"greenhouse plot #1 - 2008","gp","1"
"greenhouse plot #2 - 2008","gp","2"
"greenhouse plot #3 - 2008","gp","3"
"greenhouse plot #4 - 2008","gp","4"
"greenhouse plot #5 - 2008","gp","5"
"meadow plot #11 - 2008","meadow plot #11 - 2008","1"
"rocky meadow #1 - 2008","rm","1"
"rocky meadow #2 - 2008","rm","2"
"rocky meadow #3 - 2008","rm","3"
"rocky meadow #4 - 2008","rm","4"
"rocky meadow #5 - 2008","rm","5"
"rocky meadow #6 - 2008","rm","6"
"rocky meadow #7 - 2008","rm","7"
"stream plot #10 - 2008","stream plot #10 - 2008","1"
"veratrum removal #1 - 2008","vr","1"
"veratrum removal #2 - 2008","vr","2"
"wet meadow #1 - 2008","wm","1"
"wet meadow #2 - 2008","wm","2"
"wet meadow #3 - 2008","wm","3"
"wet meadow #4 - 2008","wm","4"
"wet meadow #5 - 2008","wm","5"
"willow-meadow interface plot #1 - 2008","int","1"
