sites,plots,plotnums
aspen forest #8 - 2007,rm,8
aspen forest #8 - 2008,rm,8
aspen forest #8 - 2009,rm,8
aspen forest #9 - 2007,rm,9
aspen forest #9 - 2008,rm,9
aspen forest #9 - 2009,rm,9
aspen forest plot #8 - 2006,rm,8
aspen forest plot #9 - 2006,rm,9
em1-1974,em,1
em1-1975,em,1
em1-1980,em,1
em1-1981,em,1
em1-1982,em,1
em1-1983,em,1
em1-1984,em,1
em1-1985,em,1
em1-1986,em,1
em11976,em,1
em11977,em,1
em11979,em,1
em11987,em,1
em11988,em,1
em11989,em,1
em11991,em,1
em11992,em,1
em11993,em,1
em11994,em,1
em11995,em,1
em2-1974,em,2
em2-1975,em,2
em2-1980,em,2
em2-1981,em,2
em2-1982,em,2
em2-1983,em,2
em2-1985,em,2
em2-1986,em,2
em21976,em,2
em21977,em,2
em21979,em,2
em21984,em,2
em21987,em,2
em21988,em,2
em21989,em,2
em21991,em,2
em21992,em,2
em21993,em,2
em21994,em,2
em21995,em,2
erythronium meadow #1,em,1
erythronium meadow #1 - 1997,em,1
erythronium meadow #1 - 1998,em,1
erythronium meadow #1 - 1999,em,1
erythronium meadow #1 - 2000,em,1
erythronium meadow #1 - 2001,em,1
erythronium meadow #1 - 2002,em,1
erythronium meadow #1 - 2003,em,1
erythronium meadow #1 - 2004,em,1
erythronium meadow #1 - 2005,em,1
erythronium meadow #1 - 2007,em,1
erythronium meadow #1 - 2008,em,1
erythronium meadow #1 - 2009,em,1
erythronium meadow #1 - updated july 2008_2006,em,1
erythronium meadow #2,em,2
erythronium meadow #2 - 1997,em,2
erythronium meadow #2 - 1998,em,2
erythronium meadow #2 - 1999,em,2
erythronium meadow #2 - 2000,em,2
erythronium meadow #2 - 2001,em,2
erythronium meadow #2 - 2002,em,2
erythronium meadow #2 - 2003,em,2
erythronium meadow #2 - 2004,em,2
erythronium meadow #2 - 2005,em,2
erythronium meadow #2 - 2006,em,2
erythronium meadow #2 - 2007,em,2
erythronium meadow #2 - 2008,em,2
erythronium meadow #2 - 2009,em,2
gp1-1985,gh,1
gp1-1986,gh,1
gp11987,gh,1
gp11988,gh,1
gp11989,gh,1
gp11991,gh,1
gp11992,gh,1
gp11993,gh,1
gp11994,gh,1
gp11995,gh,1
gp11996,gh,1
gp2-1985,gh,2
gp2-1986,gh,2
gp21987,gh,2
gp21988,gh,2
gp21989,gh,2
gp21991,gh,2
gp21992,gh,2
gp21993,gh,2
gp21994,gh,2
gp21995,gh,2
gp21996,gh,2
greenhouse plot #1 - 1997,gh,1
greenhouse plot #1 - 1998,gh,1
greenhouse plot #1 - 1999,gh,1
greenhouse plot #1 - 2000,gh,1
greenhouse plot #1 - 2001,gh,1
greenhouse plot #1 - 2002,gh,1
greenhouse plot #1 - 2003,gh,1
greenhouse plot #1 - 2004,gh,1
greenhouse plot #1 - 2005,gh,1
greenhouse plot #1 - 2006,gh,1
greenhouse plot #1 - 2007,gh,1
greenhouse plot #1 - 2008,gh,1
