"species","year","was.changed","plotNums","date"
"Trisetum spicatum","1981","yes","rm-2",56
"Poa sp.","1983","yes","rm-2",42
"Poa sp.","1987","yes","rm-2",66
"Poa sp.","1988","yes","rm-2",54
"Stipa lettermanii","1991","tbd","rm-2",98
"Poa sp.","1991","yes","rm-2",49
"Trisetum spicatum","1991","yes","rm-2",49
"Poa sp.","1992","yes","rm-2",41
"Trisetum spicatum","1992","yes","rm-2",41
"Stipa lettermanii","1993","tbd","rm-2",74
"Poa sp.","1993","yes","rm-2",37
"Stipa lettermanii","1994","tbd","rm-2",94
"Poa sp.","1994","yes","rm-2",47
"Stipa lettermanii","1995","tbd","rm-2",108
"Poa sp.","1995","yes","rm-2",54
"Poa sp.","1997","yes","rm-2",63
"Poa sp.","1998","yes","rm-2",73
"Poa sp.","1999","yes","rm-2",56
"Festuca thurberi","2000","no","rm-2",57
"Poa sp.","2000","yes","rm-2",57
"Trisetum spicatum","2000","yes","rm-2",57
"Festuca thurberi","2001","no","rm-2",78
"Poa sp.","2001","yes","rm-2",78
"Poa sp.","2002","yes","rm-2",76
"Festuca thurberi","2003","yes","rm-2",66
"Poa sp.","2003","yes","rm-2",66
"Stipa lettermanii","2003","yes","rm-2",66
"Festuca thurberi","2004","yes","rm-2",57
"Poa sp.","2004","yes","rm-2",57
"Stipa lettermanii","2004","yes","rm-2",57
"Festuca thurberi","2005","yes","rm-2",69
"Poa sp.","2005","yes","rm-2",69
"Stipa lettermanii","2005","yes","rm-2",69
"Festuca thurberi","2006","yes","rm-2",73
"Poa sp.","2006","yes","rm-2",73
"Stipa lettermanii","2006","yes","rm-2",73
"Festuca thurberi","2007","yes","rm-2",75
"Poa sp.","2007","yes","rm-2",75
"Festuca thurberi","2008","yes","rm-2",69
"Poa sp.","2008","yes","rm-2",69
"Festuca thurberi","2009","no","rm-2",57
"Festuca thurberi","2009","yes","rm-2",57
"Poa sp.","2009","yes","rm-2",57
"Stipa lettermanii","2009","yes","rm-2",57
"Poa sp.","1983","yes","rm-3",42
"Stipa lettermanii","1983","yes","rm-3",42
"Poa sp.","1985","yes","rm-3",47
"Stipa lettermanii","1991","tbd","rm-3",98
"Poa sp.","1991","yes","rm-3",49
"Poa sp.","1992","yes","rm-3",41
"Poa sp.","1993","yes","rm-3",37
"Poa sp.","1994","yes","rm-3",47
"Stipa lettermanii","1995","tbd","rm-3",108
"Poa sp.","1995","yes","rm-3",54
"Poa sp.","1997","yes","rm-3",63
"Ceratochloa carinata","1998","yes","rm-3",73
"Poa sp.","1998","yes","rm-3",73
"Ceratochloa carinata","1999","yes","rm-3",56
"Poa sp.","1999","yes","rm-3",56
"Poa sp.","2000","yes","rm-3",57
"Poa sp.","2001","yes","rm-3",78
"Poa sp.","2002","yes","rm-3",75
"Poa sp.","2003","yes","rm-3",70
"Stipa lettermanii","2003","yes","rm-3",70
"Ceratochloa carinata","2004","yes","rm-3",63
"Poa sp.","2004","yes","rm-3",63
"Stipa lettermanii","2004","yes","rm-3",63
"Ceratochloa carinata","2005","yes","rm-3",67
"Poa sp.","2005","yes","rm-3",67
"Stipa lettermanii","2005","yes","rm-3",67
"Ceratochloa carinata","2006","yes","rm-3",72
"Poa sp.","2006","yes","rm-3",72
"Stipa lettermanii","2006","yes","rm-3",72
"Ceratochloa carinata","2007","yes","rm-3",70
"Poa sp.","2007","yes","rm-3",70
"Festuca thurberi","2008","yes","rm-3",65
"Poa sp.","2008","yes","rm-3",65
"Trisetum spicatum","2008","yes","rm-3",65
"Ceratochloa carinata","2009","yes","rm-3",57
"Poa sp.","2009","yes","rm-3",57
"Stipa lettermanii","2009","yes","rm-3",57
"Poa sp.","1985","yes","rm-6",47
"Stipa lettermanii","1985","yes","rm-6",47
"Poa sp.","1986","yes","rm-6",47
"Poa sp.","1987","yes","rm-6",67
"Poa sp.","1988","yes","rm-6",57
"Elymus longifolius","1991","yes","rm-6",49
"Poa sp.","1991","yes","rm-6",49
"Elymus longifolius","1992","yes","rm-6",41
"Poa sp.","1992","yes","rm-6",41
"Poa sp.","1993","yes","rm-6",37
"Poa sp.","1994","yes","rm-6",47
"Poa sp.","1995","yes","rm-6",53
"Poa sp.","1997","yes","rm-6",63
"Poa sp.","1998","yes","rm-6",73
"Poa sp.","1999","yes","rm-6",57
"Poa sp.","2000","yes","rm-6",57
"Festuca thurberi","2001","yes","rm-6",78
"Poa sp.","2001","yes","rm-6",78
"Poa sp.","2003","yes","rm-6",70
"Muhlenbergia montana","2004","tbd","rm-6",68
"Festuca thurberi","2004","yes","rm-6",68
"Poa sp.","2004","yes","rm-6",68
