"species","year","was.changed","plotNums","date"
"Muhlenbergia montana","2005","tbd","rm-6",68
"Festuca thurberi","2005","yes","rm-6",68
"Poa sp.","2005","yes","rm-6",68
"Stipa lettermanii","2005","yes","rm-6",68
"Muhlenbergia montana","2006","tbd","rm-6",73
"Poa sp.","2006","yes","rm-6",73
"Stipa lettermanii","2006","yes","rm-6",73
"Muhlenbergia montana","2007","tbd","rm-6",75
"Festuca thurberi","2007","yes","rm-6",75
"Poa sp.","2007","yes","rm-6",75
"Stipa lettermanii","2007","yes","rm-6",75
"Muhlenbergia montana","2008","tbd","rm-6",69
"Festuca thurberi","2008","yes","rm-6",69
"Poa sp.","2008","yes","rm-6",69
"Stipa lettermanii","2008","yes","rm-6",69
"Muhlenbergia montana","2009","tbd","rm-6",56
"Festuca thurberi","2009","yes","rm-6",56
"Poa sp.","2009","yes","rm-6",56
"Trisetum spicatum","1982","yes","wm-3",55
"Ceratochloa carinata","1983","yes","wm-3",40
"Poa sp.","1983","yes","wm-3",40
"Stipa lettermanii","1991","tbd","wm-3",96
"Ceratochloa carinata","1991","yes","wm-3",48
"Poa sp.","1991","yes","wm-3",48
"Stipa lettermanii","1992","tbd","wm-3",82
"Ceratochloa carinata","1992","yes","wm-3",41
"Ceratochloa carinata","1993","yes","wm-3",36
"Poa sp.","1993","yes","wm-3",36
"Stipa lettermanii","1995","tbd","wm-3",98
"Ceratochloa carinata","1995","yes","wm-3",49
"Poa sp.","1995","yes","wm-3",49
"Ceratochloa carinata","1996","yes","wm-3",60
"Festuca thurberi","1996","yes","wm-3",60
"Ceratochloa carinata","1997","yes","wm-3",63
"Poa sp.","1997","yes","wm-3",63
"Ceratochloa carinata","1998","yes","wm-3",142
"Poa sp.","1998","yes","wm-3",71
"Ceratochloa carinata","1999","yes","wm-3",174
"Poa sp.","1999","yes","wm-3",58
"Festuca thurberi","2000","no","wm-3",51
"Ceratochloa carinata","2000","yes","wm-3",99
"Poa sp.","2000","yes","wm-3",51
"Ceratochloa carinata","2001","yes","wm-3",136
"Poa sp.","2001","yes","wm-3",68
"Ceratochloa carinata","2002","yes","wm-3",74
"Festuca thurberi","2003","no","wm-3",62
"Ceratochloa carinata","2003","yes","wm-3",121
"Poa sp.","2003","yes","wm-3",121
"Festuca thurberi","2004","no","wm-3",61
"Ceratochloa carinata","2004","yes","wm-3",135
"Poa sp.","2004","yes","wm-3",61
"Stipa lettermanii","2004","yes","wm-3",61
"Festuca thurberi","2005","no","wm-3",65
"Poa sp.","2005","yes","wm-3",65
"Stipa lettermanii","2005","yes","wm-3",65
"Festuca thurberi","2006","no","wm-3",64
"Poa sp.","2006","yes","wm-3",64
"Trisetum spicatum","2006","yes","wm-3",63
"Festuca thurberi","2007","no","wm-3",62
"Ceratochloa carinata","2007","yes","wm-3",62
"Stipa lettermanii","2007","yes","wm-3",62
"Trisetum spicatum","2007","yes","wm-3",64
"Festuca thurberi","2008","no","wm-3",50
"Poa sp.","2008","yes","wm-3",50
"Stipa lettermanii","2008","yes","wm-3",50
"Trisetum spicatum","2008","yes","wm-3",50
"Festuca thurberi","2009","no","wm-3",57
"Stipa lettermanii","2009","yes","wm-3",57
"Trisetum spicatum","2009","yes","wm-3",56
