"givenname","needs.change","lookup.gen","lookup.sp","notes"
"Hydrophyllum capitatum","no","","",""
"Hydrophyllum fendleri","no","","",""
"Ipomopsis aggregata","no","","",""
"Lathyrus leucanthus","no","","",""
"Ligusticum porteri","no","","",""
"Linum lewisii","no","","",""
"Lithophragma glabrum","no","","",""
"Lomatium dissectum","no","","",""
"Lonicera involucrata","no","","","not in plot"
"Lychnis apetala","no","","",""
"Mahonia repens","no","","",""
"Maianthemum stellatum","no","","",""
"Medicago lupulina","no","","","not in plot"
"Mertensia ciliata","no","","",""
"Mertensia fusiformis","no","","",""
"Mimulus guttatus","no","","",""
"Noccaea montana","no","","",""
"Oxypolis fendleri","no","","",""
"Paxistima myrsinites","no","","",""
"Pedicularis bracteosa","no","","",""
"Pedicularis groenlandica","no","","",""
"Phacelia heterophylla","no","","",""
"Pneumonanthe parryi","no","","",""
"Polygonum aviculare","no","","",""
"Polygonum douglasii","no","","",""
"Potentilla hippiana","no","","",""
"Pseudocymopterus montanus","no","","",""
"Ranunculus inamoenus","no","","",""
"Rosa woodsii","no","","",""
"Salix brachycarpa","no","","",""
"Salix drummondiana","no","","",""
"Salix geyeriana","no","","",""
"Salix monticola","no","","",""
"Salix wolfii","no","","",""
"Sedum rosea","no","","",""
"Senecio integerrimus","no","","",""
"Senecio triangularis","no","","",""
"Sidalcea candida","no","","","not in current matrix - might be outside plots and recently added"
"Solidago multiradiata","no","","",""
"Stellaria longifolia","no","","",""
"Swertia perennis","no","","",""
"Taraxacum officinale","no","","",""
"Thalictrum fendleri","no","","",""
"Tragopogon dubius","no","","","invasive"
"Trifolium hybridum","no","","","Species names are good, but no Trifolium in plots"
"Trifolium longipes","no","","",""
"Trifolium pratense","no","","",""
"Trifolium repens","no","","",""
"Valeriana capitata","no","","",""
"Valeriana edulis","no","","",""
"Veratrum tenuipetalum","no","","",""
"Viola adunca","no","","",""
"Viola praemorsa","no","","","Only V. praemorsa in current matrix"
"Astragalus alpinus","no","","","genus not in current data - 1973 plot"
"Carex geyeri","no","Carex","sp.","MANY other Carex present, never identified"
"Chenopodium album","no","","",""
"Deschampsia caespitosa","no","","",""
"Elymus trachycaulis","no","","",""
"Epilobium lactiflorum","no","","",""
"Epilobium saximontanum","no","","","not recently collected in Gothic -- usually higher alt."
"Festuca thurberi","no","","",""
"Hackelia floribunda","no","","",""
"Melica spectabilis","no","","",""
"Moehringia lateriflora","no","","",""
"Osmorhiza occidentalis","no","","",""
"Oxytropis deflexa","no","","",""
"Phleum commutatum","no","","",""
"Polygonum viviparum","no","","",""
"Senecio serra","no","","",""
"Silene antirrhina","no","","",""
"Thlaspi alpestre","no","","","good species name - not in current data"
"Thlaspi arvense","no","","","good species name - not in current data; invasive in Gothic"
"Trisetum spicatum","no","","",""
"Vicia americana","no","","",""
"Chenopodium foliosum","no","","",""
"Salix sp.","no","","",""
"Orobanche fasciculata","no","","",""
"Orobanche uniflora","no","","",""
"Listera borealis","no","","","1973 plots"
"Mitella pentandra","no","","","1974 plots"
"Orthocarpus luteus","no","","",""
"Trollius laxus","no","","",NA
"Listera cordata","no","","",NA
"Pyrola asarifolia","no","","",NA
"Streptopus amplexifolius","no","","",NA
"Parnassia fimbriata","no","","",NA
"Osmorhiza obtusa","no","","",NA
"Epilobium hornemanii","no","","",NA
"Hedysarum occidentale","no","","",NA
"Prunella vulgaris","no","","",NA
