species,notes
Achillea millefolium,
Aconitum columbianum,
Agastache urticifolia,
Agoseris aurantiaca,
Agoseris glauca,
Allium geyeri,
Amelanchier pumila,
Amerosedum lanceolatum,
Androsace septentrionalis,
Angelica grayi,
Antennaria pulcherrima,Antennaria pulcherrima (ITIS Taxonomic Serial No.: 36751) (Asteraceae)
Anticlea elegans,"Anticlea (Zigadenus) elegans (ITIS Taxonomic Serial No.: 508927; they also use Zigadenus elegans, (ITIS Taxonomic Serial No.: 524838) (Liliaceae; Weber and Wittman put it in Melanthiaceae)"
Aquilegia coerulea,
Arenaria congesta,
Arnica chamissonis,
Arnica cordifolia,
Artemisia dracunculus,Artemisia dracunculus (ITIS Taxonomic Serial No.: 35462) (Asteraceae)
Artemisia tridentata,
Astragalus alpinus,
Barbarea vulgaris,
Boechera stricta,
Bromus sp.,see repeat entry below for complete list of species this encompasses
Calochortus gunnisonii,
Campanula rotundifolia,
Cardamine cordifolia,
Carex geyeri,
Carex sp.,
Castilleja linariifolia,Castilleja linariifolia (ITIS Taxonomic Serial No.: 33138) (Scrophulariaceae)
Castilleja miniata,
Castilleja sulphurea,
Ceratochloa carinata,
Chamerion angustifolium,
Chenopodium album,
Cirsium sp.,
Claytonia lanceolata,
Collomia linearis,
Corallorhiza trifida,
Dasiphora fruticosa,
Delphinium barbeyi,
Delphinium nuttallianum,
Deschampsia caespitosa,
Descurainea incana,Descurainia incana (D. richardsonii) (ITIS Taxonomic Serial No.: 22839) (Brassicaceae)
Dodecatheon pulchellum,
Draba aurea,
Draba nemorosa,
Dugaldia hoopesii,Dugaldia (Helenium) hoopsii (Hymenoxys hoopsii; ITIS Taxonomic Serial No.: 507616) (Asteraceae)
Elymus glaucus,
Elymus longifolius,
Elymus trachycaulis,
Epilobium brachycarpum,
Epilobium hornemanii,
Epilobium saximontanum,
Erigeron coulteri,
Erigeron elatior,
Erigeron flagellaris,
Erigeron speciosus,
Eriogonum subalpinum,
Eriogonum umbellatum,
Erysimum capitatum,"see notes in GothicInouye_phenspecies.csv, also known as Erysimum asperum"
Erythronium grandiflorum,
Eucephalus engelmannii,
Festuca thurberi,
Fragaria virginiana,
Frasera speciosa,
Galium bifolium,
Galium boreale,
Gayophytum ramosissimum,
Gentiana parryi,"Gentiana parryi (Pneumonanthe parryi, ITIS Taxonomic Serial No.: 29980) (Gentianaceae)"
Gentianella amarella,
Gentianopsis barbellata,
Gentianopsis thermalis,
Geranium richardsonii,
Geum triflorum,"Erythrocoma triflorum (Geum triflorum var. triflorum, ITIS Taxonomic Serial No.: 195836) (Rosaceae)"
Hackelia floribunda,
Hedysarum occidentale,
Helianthella quinquenervis,
Heliomeris multiflora,
Heracleum maximum,"(Heracleum sphondylium ssp. montanum, ITIS Taxonomic Serial No.: 502953) (Apiaceae)"
Heterotheca villosa,Heterotheca (Chrysopsis) villosa (ITIS Taxonomic Serial No.: 37689) (Asteraceae)
Heuchera parviflora,
Hydrophyllum capitatum,
Hydrophyllum fendleri,
Ipomopsis aggregata,
