species,notes
Koelaria macrantha,
Lathyrus lanszwertii,"Lathyrus lanszwertii var. leucanthus, (Lathyrus leucanthus; ITIS Taxonomic Serial No.: 528691) (Fabaceae)"
Ligularia bigelovii,"Ligularia (Senecio) bigelovii (Senecio bigelovii var. bigelovii, ITIS Taxonomic Serial No.: 530300) (Asteraceae)"
Ligusticum porteri,
Limnorchis hyperborea,"Limnorchis hyperborea (Platanthera hyperborea var. hyperborea, ITIS Taxonomic Serial No.: 196402) (Orchidaceae)"
Linum lewisii,
Listera borealis,
Listera cordata,
Lithophragma glabrum,
Lomatium dissectum,
Lonicera involucrata,
Lupinus prunophilus,
Lupinus sp.,
Mahonia repens,
Maianthemum stellatum,
Medicago lupulina,
Mertensia ciliata,
Mertensia fusiformis,
Mimulus guttatus,
Mitella pentandra,
Moehringia lateriflora,
Muhlenbergia montana,
Noccaea montana,
Oreochrysum parryi,Oreochrysum (Haplopappus) parryi (ITIS Taxonomic Serial No.: 517938) (Asteraceae)
Orobanche fasciculata,some entries previously assigned as Orobanche uniflora
Orthocarpus luteus,
Osmorhiza occidentalis,
Oxypolis fendleri,
Oxytropis deflexa,
Parnassia fimbriata,
Paxistima myrsinites,
Pedicularis bracteosa,
Pedicularis groenlandica,
Phacelia heterophylla,
Phleum commutatum,
Poa sp.,
Poa tracyi,
Polygonum aviculare,
Polygonum douglasii,
Polygonum viviparum,
Potentilla hippiana,
Potentilla pulcherrima X hippiana ,
Prunella vulgaris,
Pseudocymopterus montanus,
Psychrophila leptosepala,
Pyrola asarifolia,
Pyrrocoma crocea,Pyrrocoma (Haplopappus) crocea (ITIS Taxonomic Serial No.: 504695) (Asteraceae)
Ranunculus inamoenus,
Rhodiola integrifolia,"Rhodiola integrifolia (Sedum integrifolium, Weber´è_s Tolmachevia integrifolia) "
Rosa woodsii,
Salix brachycarpa,
Salix drummondiana,
Salix geyeriana,
Salix monticola,
Salix sp.,
Salix wolfii,
Senecio bigelovii,
Senecio integerrimus,
Senecio serra,
Senecio triangularis,
Sidalcea candida,
Silene drummondii,previously some entries assigned as Silene antirrhina
Solidago multiradiata,
Stellaria longifolia,
Stipa lettermanii,
Streptopus amplexifolius,
Swertia perennis,
Symphyotrichum foliaceum,
Taraxacum officinale,
Thalictrum fendleri,
Thlaspi alpestre,
Thlaspi arvense,
Tragopogon dubius,
Trifolium hybridum,
Trifolium longipes,
Trifolium pratense,
Trifolium repens,
Trisetum spicatum,
Trollius laxus,
unknforb,
unkngrass,see repeat entry below for complete list of species this encompasses
Valeriana capitata,
Valeriana edulis,
Veratrum tenuipetalum,
Vicia americana,
Viola adunca,
Viola praemorsa,"note that DI wrote in cleaned_DIchanges3.csv from 3.Feb.2013: I think Viola nuttalli is the most common yellow violet around RMBL; I should try again next summer to distinguish nuttallii, vallicola, and praemorsa. "
,
unkngrass includes:,Achnatherum (Stipa) lettermanii (ITIS Taxonomic Serial No.: 507946) (Poaceae): needlegrass (has long awns).
,Bromelica (Melica) spectabilis (ITIS Taxonomic Serial No.: 41861) (Poaceae)
,"Bromopsis inermis (Bromus inermis var. inermis, ITIS Taxonomic Serial No.: 566598) (Poaceae)"
,"Bromopsis pumpelliana (Bromus inermis var. pumpellianus, ITIS Taxonomic Serial No.: 566600) (Poaceae)"
,Ceratochloa carinata (Bromus carinatus) (ITIS Taxonomic Serial No.: 40481) (Poaceae)
,Deschampsia caespitosa
,Elymus elymoides (ITIS Taxonomic Serial No.:´è_ 525111) (Poaceae)
,Elymus (Agropyron) trachycaulus (ITIS Taxonomic Serial No.: 502282) (Poaceae)
,Festuca thurberi (ITIS Taxonomic Serial No.: 40828) (Poaceae)
,Koeleria macrantha´è_ (ITIS Taxonomic Serial No.: 503284) (Poaceae)
,"Muhlenbergia sp. Only occurs in one plot, Rocky Meadow #6, on east edge.´è_ Possibly Muhlenbergia montana. (ITIS Taxonomic Serial No.: 41927)"
,Phleum commutatum (timothy grass) (Phleum alpinum; ITIS Taxonomic Serial No.: 41063) (Poaceae)
,Poa pratensis (ITIS Taxonomic Serial No.: 41088) (Poaceae)
,Poa tracyi (ITIS Taxonomic Serial No.: 41100) (Poaceae)
,Trisetum spicatum (ITIS Taxonomic Serial No.: 41294) (Poaceae)
Bromus sp. Includes:,"Bromopsis inermis (Bromus inermis var. inermis, ITIS Taxonomic Serial No.: 566598) (Poaceae)"
,"Bromopsis pumpelliana (Bromus inermis var. pumpellianus, ITIS Taxonomic Serial No.: 566600) (Poaceae)"
,Ceratochloa carinata (Bromus carinatus) (ITIS Taxonomic Serial No.: 40481) (Poaceae)
